"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20181201 ~ 20191130"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 김포시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.83","39,300","10","201906","20","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.89","39,360","8","201906","25","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.8922","42,060","12","201906","27","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.8318","40,560","11","201906","28","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","75.84","37,960","14","201906","30","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.8922","37,560","2","201907","4","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.89","43,500","16","201907","24","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.92","41,560","6","201908","7","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.98","41,500","8","201908","11","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.83","41,000","13","201908","26","분"
"경기도 김포시 걸포동","BL-2-1","걸포북변역 우방 아이유쉘","84.89","43,500","7","201909","23","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","43,720","37","201812","4","분"
